,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
above,0.75,0.25,0.32,0.25,0.75,0.2,0.35,0.2,0.25,0.2,0.675,0.2,0.32,0.675,0.15,0.32,0.32,0.12,0.25,0.25,0.45,0.215,0.35,0.65,0.01,0.1,0.2,0.2,0.8,0.3,0.12,0.215,0.25,0.2,0.2,0.35,0.45,0.15,0.25,0.35,0.45,0.12,0.215,0.32,0.45,0.1,0.215,0.25,0.2,0.15,0.2,0.35,0.35,0.25,0.35,0.35,0.2,0.35,0.6,0.215,0.32,0.2,0.2,0.25,0.35,0.35,0.45,0.65,0.65,0.75,0.6
angry,0.15,0.2,0.15,0.2,0.1,0.2,0.215,0.75,0.215,0.35,0.1,0.215,0.215,0.12,0.215,0.215,0.1,0.75,0.25,0.45,0.05,0.125,0.125,0.05,0.8,0.2,0.2,0.1,0.0,0.05,0.675,0.345,0.2,0.75,0.75,0.1,0.05,0.1,0.125,0.12,0.1,0.215,0.215,0.15,0.1,0.75,0.675,0.35,0.85,0.85,0.1,0.1,0.1,0.15,0.125,0.1,0.215,0.2,0.2,0.742,0.35,0.85,0.9,0.05,0.1,0.05,0.15,0.1,0.25,0.2,0.2
beach,0.25,0.045,0.12,0.1,0.75,0.12,0.215,0.05,0.125,0.125,0.85,0.215,0.32,0.75,0.125,0.215,0.32,0.05,0.25,0.25,0.85,0.45,0.75,0.85,0.0,0.05,0.1,0.2,0.9,0.25,0.125,0.345,0.45,0.25,0.15,0.675,0.85,0.12,0.35,0.675,0.75,0.215,0.325,0.675,0.75,0.125,0.432,0.75,0.35,0.12,0.15,0.45,0.75,0.215,0.45,0.675,0.32,0.675,0.85,0.482,0.75,0.35,0.15,0.2,0.2,0.35,0.25,0.65,0.75,0.75,0.85
below,0.2,0.12,0.12,0.12,0.2,0.2,0.2,0.15,0.12,0.12,0.25,0.25,0.32,0.25,0.245,0.215,0.12,0.15,0.2,0.15,0.12,0.245,0.25,0.2,0.9,0.2,0.3,0.3,0.1,0.2,0.215,0.215,0.215,0.2,0.15,0.25,0.2,0.25,0.32,0.25,0.32,0.35,0.32,0.25,0.25,0.215,0.215,0.2,0.2,0.12,0.2,0.2,0.2,0.25,0.2,0.2,0.25,0.215,0.2,0.215,0.2,0.25,0.2,0.15,0.2,0.2,0.2,0.2,0.2,0.2,0.2
beside,0.2,0.12,0.2,0.15,0.2,0.12,0.25,0.12,0.12,0.12,0.2,0.2,0.25,0.25,0.15,0.215,0.25,0.1,0.2,0.15,0.25,0.215,0.25,0.25,0.1,0.2,0.2,0.2,0.2,0.2,0.12,0.215,0.25,0.2,0.15,0.25,0.25,0.2,0.2,0.25,0.25,0.15,0.2,0.25,0.25,0.12,0.2,0.25,0.2,0.2,0.2,0.2,0.25,0.2,0.25,0.25,0.2,0.25,0.25,0.15,0.25,0.2,0.2,0.2,0.2,0.2,0.2,0.25,0.2,0.25,0.2
blueberry,0.75,0.45,0.35,0.215,0.75,0.75,0.482,0.25,0.215,0.1,0.65,0.682,0.742,0.75,0.245,0.245,0.215,0.05,0.125,0.05,0.215,0.215,0.215,0.2,0.0,0.01,0.05,0.05,0.0,0.01,0.045,0.125,0.125,0.125,0.05,0.125,0.125,0.045,0.12,0.125,0.125,0.045,0.125,0.045,0.05,0.045,0.045,0.1,0.05,0.01,0.05,0.1,0.12,0.045,0.12,0.12,0.045,0.12,0.05,0.045,0.05,0.01,0.0,0.05,0.05,0.05,0.1,0.05,0.1,0.01,0.01
dawn,0.32,0.12,0.32,0.215,0.32,0.215,0.432,0.12,0.215,0.15,0.75,0.215,0.432,0.75,0.215,0.432,0.675,0.05,0.32,0.25,0.32,0.245,0.62,0.75,0.0,0.05,0.2,0.2,0.8,0.45,0.125,0.345,0.62,0.32,0.2,0.35,0.45,0.12,0.35,0.675,0.75,0.215,0.325,0.675,0.75,0.125,0.325,0.75,0.75,0.15,0.215,0.675,0.65,0.25,0.675,0.75,0.215,0.675,0.85,0.482,0.75,0.45,0.2,0.25,0.45,0.75,0.65,0.75,0.75,0.85,0.85
day,0.75,0.12,0.215,0.12,0.75,0.12,0.32,0.05,0.215,0.1,0.85,0.215,0.45,0.75,0.125,0.215,0.25,0.05,0.215,0.15,0.75,0.25,0.65,0.75,0.0,0.05,0.2,0.3,1.0,0.6,0.12,0.215,0.25,0.215,0.15,0.65,0.75,0.1,0.45,0.75,0.75,0.125,0.35,0.65,0.75,0.1,0.215,0.65,0.35,0.15,0.45,0.75,0.75,0.45,0.75,0.75,0.35,0.675,0.85,0.25,0.75,0.25,0.25,0.75,0.85,0.85,0.75,0.85,0.75,0.9,0.85
disgust,0.1,0.12,0.12,0.12,0.1,0.15,0.215,0.2,0.12,0.15,0.15,0.215,0.215,0.12,0.215,0.245,0.125,0.45,0.35,0.25,0.12,0.215,0.125,0.1,0.1,0.6,0.45,0.45,0.01,0.2,0.742,0.482,0.45,0.65,0.75,0.125,0.12,0.2,0.215,0.2,0.2,0.682,0.321,0.35,0.2,0.75,0.675,0.25,0.75,0.75,0.1,0.12,0.12,0.2,0.2,0.15,0.35,0.25,0.2,0.682,0.2,0.75,0.85,0.1,0.12,0.12,0.15,0.12,0.2,0.15,0.15
dress,0.35,0.45,0.62,0.75,0.45,0.25,0.675,0.45,0.75,0.75,0.65,0.45,0.45,0.675,0.45,0.675,0.75,0.45,0.75,0.85,0.45,0.45,0.65,0.75,0.9,0.25,0.3,0.3,0.9,0.45,0.45,0.675,0.75,0.75,0.75,0.675,0.65,0.2,0.35,0.65,0.75,0.215,0.32,0.675,0.75,0.245,0.432,0.75,0.75,0.75,0.25,0.45,0.65,0.35,0.45,0.45,0.35,0.45,0.75,0.45,0.75,0.45,0.75,0.25,0.45,0.65,0.35,0.45,0.65,0.75,0.75
dusk,0.25,0.682,0.62,0.25,0.215,0.75,0.742,0.75,0.482,0.215,0.32,0.742,0.742,0.742,0.742,0.742,0.675,0.682,0.62,0.25,0.12,0.432,0.432,0.215,0.9,0.25,0.45,0.25,0.01,0.2,0.682,0.682,0.675,0.482,0.15,0.215,0.215,0.215,0.35,0.32,0.32,0.682,0.682,0.675,0.675,0.482,0.675,0.675,0.675,0.15,0.12,0.215,0.215,0.125,0.215,0.245,0.245,0.35,0.45,0.675,0.62,0.35,0.2,0.05,0.12,0.12,0.215,0.2,0.25,0.15,0.215
far,0.35,0.215,0.32,0.12,0.35,0.32,0.32,0.12,0.215,0.12,0.35,0.245,0.32,0.62,0.215,0.32,0.2,0.12,0.215,0.15,0.25,0.215,0.32,0.35,0.1,0.2,0.3,0.3,0.1,0.2,0.12,0.215,0.12,0.12,0.12,0.2,0.25,0.12,0.215,0.25,0.25,0.215,0.245,0.245,0.25,0.12,0.215,0.215,0.12,0.12,0.12,0.12,0.2,0.2,0.25,0.25,0.2,0.25,0.215,0.125,0.2,0.12,0.15,0.12,0.12,0.2,0.215,0.2,0.2,0.2,0.2
fearful,0.12,0.35,0.215,0.35,0.12,0.675,0.25,0.675,0.25,0.2,0.215,0.482,0.423,0.25,0.675,0.423,0.215,0.75,0.32,0.25,0.12,0.215,0.215,0.12,0.9,0.6,0.4,0.2,0.0,0.2,0.675,0.432,0.25,0.65,0.45,0.12,0.1,0.125,0.125,0.2,0.125,0.215,0.245,0.215,0.15,0.682,0.321,0.25,0.65,0.75,0.05,0.1,0.1,0.12,0.12,0.125,0.125,0.215,0.15,0.245,0.2,0.65,0.85,0.05,0.1,0.05,0.12,0.1,0.2,0.15,0.1
field,0.15,0.12,0.12,0.045,0.65,0.2,0.215,0.12,0.12,0.05,0.25,0.45,0.35,0.35,0.215,0.215,0.12,0.05,0.15,0.05,0.215,0.675,0.45,0.65,0.1,0.2,0.2,0.2,0.1,0.1,0.15,0.245,0.12,0.12,0.05,0.75,0.65,0.85,0.85,0.75,0.75,0.75,0.742,0.675,0.75,0.25,0.32,0.25,0.2,0.1,0.85,0.75,0.85,0.85,0.85,0.85,0.75,0.75,0.675,0.675,0.45,0.25,0.1,0.85,0.85,0.85,0.75,0.75,0.75,0.75,0.75
happy,0.75,0.12,0.45,0.35,0.6,0.1,0.35,0.1,0.35,0.25,0.75,0.12,0.35,0.675,0.125,0.325,0.6,0.05,0.35,0.35,0.75,0.25,0.675,0.75,0.0,0.0,0.1,0.1,0.9,0.2,0.1,0.245,0.65,0.25,0.2,0.75,0.85,0.05,0.35,0.75,0.75,0.05,0.245,0.45,0.75,0.05,0.215,0.75,0.25,0.1,0.45,0.75,0.85,0.45,0.75,0.75,0.25,0.675,0.85,0.25,0.75,0.35,0.2,0.85,0.85,0.85,0.75,0.85,0.75,0.9,0.85
lemon,0.05,0.01,0.05,0.05,0.05,0.01,0.05,0.01,0.045,0.05,0.125,0.01,0.12,0.12,0.01,0.12,0.1,0.0,0.05,0.05,0.15,0.12,0.215,0.25,0.0,0.0,0.0,0.05,0.05,0.05,0.01,0.05,0.215,0.05,0.05,0.215,0.45,0.05,0.2,0.25,0.75,0.05,0.215,0.25,0.75,0.01,0.125,0.215,0.1,0.01,0.2,0.25,0.25,0.25,0.75,0.75,0.215,0.75,0.9,0.12,0.75,0.12,0.05,0.25,0.75,0.85,0.85,0.85,0.85,0.95,0.9
