,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
above,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
angry,0.1,0.1,0.1,0.2,0.1,0.2,0.1,0.2,0.2,0.2,0.05,0.2,0.2,0.1,0.2,0.2,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.15,0.2,0.0,0.0,0.6,0.2,0.1,0.4,0.2,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.25,0.1,0.1,0.3,0.6,0.1,0.8,0.75,0.0,0.0,0.0,0.1,0.05,0.01,0.3,0.1,0.1,0.3,0.12,0.75,1.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2
beach,0.2,0.0,0.0,0.0,0.8,0.1,0.0,0.0,0.0,0.0,0.75,0.1,0.2,0.2,0.0,0.0,0.1,0.0,0.0,0.0,0.5,0.3,0.75,0.45,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.2,0.2,0.0,0.1,0.2,0.1,0.1,0.2,0.75,0.75,0.1,0.2,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.7,0.2,0.75,0.1,0.0,0.1,0.1,0.05,0.1,0.1,0.2,0.7,0.6
below,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.1,0.05,0.1,0.15,0.1,0.0,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.2,0.0,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.0
beside,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
blueberry,0.2,0.75,0.2,0.0,0.8,0.8,0.2,0.6,0.1,0.0,0.3,0.8,0.8,0.6,0.75,0.2,0.05,0.2,0.1,0.0,0.0,0.1,0.1,0.1,0.9,0.0,0.4,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dawn,0.25,0.1,0.2,0.0,0.1,0.1,0.2,0.1,0.12,0.0,0.2,0.1,0.2,0.3,0.1,0.25,0.3,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.0,0.0,0.2,0.1,0.0,0.2,0.1,0.2,0.75,0.12,0.1,0.1,0.2,0.0,0.1,0.2,0.2,0.1,0.2,0.3,0.6,0.1,0.3,0.75,0.6,0.2,0.1,0.1,0.2,0.1,0.2,0.2,0.2,0.75,0.75,0.35,0.75,0.6,0.75,0.0,0.1,0.1,0.1,0.15,0.4,0.7,0.7
day,0.8,0.1,0.1,0.1,0.8,0.2,0.1,0.0,0.1,0.1,0.75,0.1,0.65,0.6,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.25,0.45,0.25,0.0,0.0,0.2,0.1,0.0,0.0,0.1,0.2,0.3,0.1,0.15,0.3,0.4,0.1,0.2,0.45,0.6,0.1,0.1,0.65,0.8,0.1,0.3,0.65,0.4,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.2,0.85,0.8,0.3,0.75,0.2,0.2,0.25,0.2,0.3,0.3,0.3,0.8,0.9,0.9
disgust,0.0,0.1,0.1,0.1,0.0,0.1,0.1,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.3,0.2,0.2,0.1,0.2,0.1,0.1,0.0,0.0,0.1,0.2,0.0,0.0,0.25,0.25,0.1,0.25,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.75,0.6,0.1,0.1,0.721,0.2,0.1,0.2,0.3,0.1,0.1,0.1,0.75,0.2,0.7,0.6,0.1,0.1,0.3,0.1,0.3,0.1,0.2,0.2,0.75,0.75,0.6,0.1,0.1,0.1
dress,0.1,0.2,0.1,0.2,0.01,0.2,0.1,0.2,0.2,0.2,0.1,0.01,0.1,0.1,0.1,0.1,0.2,0.1,0.2,0.6,0.1,0.1,0.1,0.1,0.0,0.0,0.1,0.0,0.0,0.0,0.2,0.2,0.3,0.3,0.3,0.1,0.1,0.05,0.0,0.1,0.1,0.15,0.2,0.12,0.2,0.2,0.2,0.2,0.2,0.2,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.15,0.2,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.2,0.2,0.2
