palette,order_num,label_options,answer_key,bar_cols,fname,prompt
0,1,"['banana', 'corn', 'carrot', 'grape']","['corn', 'carrot', 'grape', 'banana']","['#c7b88b', '#cc4f1b', '#600b84', '#d0e942']",0_1.png,"Q: In this graph, map each of the four words above the bars to the correct bar based on its color. Each word should be mapped to a single colored bar.  Think about the optimal mapping between all words and colors.The bars are indexed used the letters A, B, C, and D 
 Format your answer like this - A: word 1, B: word 2, C: word 3, D: word 4 
 Respond in json format
 A:"
0,2,"['banana', 'carrot', 'grape', 'corn']","['banana', 'corn', 'carrot', 'grape']","['#d0e942', '#c7b88b', '#cc4f1b', '#600b84']",0_2.png,"Q: In this graph, map each of the four words above the bars to the correct bar based on its color. Each word should be mapped to a single colored bar.  Think about the optimal mapping between all words and colors.The bars are indexed used the letters A, B, C, and D 
 Format your answer like this - A: word 1, B: word 2, C: word 3, D: word 4 
 Respond in json format
 A:"
0,3,"['corn', 'grape', 'carrot', 'banana']","['grape', 'banana', 'corn', 'carrot']","['#600b84', '#d0e942', '#c7b88b', '#cc4f1b']",0_3.png,"Q: In this graph, map each of the four words above the bars to the correct bar based on its color. Each word should be mapped to a single colored bar.  Think about the optimal mapping between all words and colors.The bars are indexed used the letters A, B, C, and D 
 Format your answer like this - A: word 1, B: word 2, C: word 3, D: word 4 
 Respond in json format
 A:"
0,4,"['grape', 'carrot', 'corn', 'banana']","['carrot', 'grape', 'banana', 'corn']","['#cc4f1b', '#600b84', '#d0e942', '#c7b88b']",0_4.png,"Q: In this graph, map each of the four words above the bars to the correct bar based on its color. Each word should be mapped to a single colored bar.  Think about the optimal mapping between all words and colors.The bars are indexed used the letters A, B, C, and D 
 Format your answer like this - A: word 1, B: word 2, C: word 3, D: word 4 
 Respond in json format
 A:"
1,1,"['cherry', 'sleeping', 'peach', 'driving']","['sleeping', 'driving', 'peach', 'cherry']","['#000000', '#d5b811', '#f7a75a', '#e81a4b']",1_1.png,"Q: In this graph, map each of the four words above the bars to the correct bar based on its color. Each word should be mapped to a single colored bar.  Think about the optimal mapping between all words and colors.The bars are indexed used the letters A, B, C, and D 
 Format your answer like this - A: word 1, B: word 2, C: word 3, D: word 4 
 Respond in json format
 A:"
1,2,"['driving', 'sleeping', 'cherry', 'peach']","['cherry', 'sleeping', 'driving', 'peach']","['#e81a4b', '#000000', '#d5b811', '#f7a75a']",1_2.png,"Q: In this graph, map each of the four words above the bars to the correct bar based on its color. Each word should be mapped to a single colored bar.  Think about the optimal mapping between all words and colors.The bars are indexed used the letters A, B, C, and D 
 Format your answer like this - A: word 1, B: word 2, C: word 3, D: word 4 
 Respond in json format
 A:"
1,3,"['cherry', 'sleeping', 'driving', 'peach']","['peach', 'cherry', 'sleeping', 'driving']","['#f7a75a', '#e81a4b', '#000000', '#d5b811']",1_3.png,"Q: In this graph, map each of the four words above the bars to the correct bar based on its color. Each word should be mapped to a single colored bar.  Think about the optimal mapping between all words and colors.The bars are indexed used the letters A, B, C, and D 
 Format your answer like this - A: word 1, B: word 2, C: word 3, D: word 4 
 Respond in json format
 A:"
1,4,"['peach', 'sleeping', 'cherry', 'driving']","['driving', 'peach', 'cherry', 'sleeping']","['#d5b811', '#f7a75a', '#e81a4b', '#000000']",1_4.png,"Q: In this graph, map each of the four words above the bars to the correct bar based on its color. Each word should be mapped to a single colored bar.  Think about the optimal mapping between all words and colors.The bars are indexed used the letters A, B, C, and D 
 Format your answer like this - A: word 1, B: word 2, C: word 3, D: word 4 
 Respond in json format
 A:"
2,1,"['comfort', 'working', 'leisure', 'safety']","['working', 'leisure', 'safety', 'comfort']","['#777777', '#cd26c7', '#73cf10', '#632b14']",2_1.png,"Q: In this graph, map each of the four words above the bars to the correct bar based on its color. Each word should be mapped to a single colored bar.  Think about the optimal mapping between all words and colors.The bars are indexed used the letters A, B, C, and D 
 Format your answer like this - A: word 1, B: word 2, C: word 3, D: word 4 
 Respond in json format
 A:"
2,2,"['leisure', 'safety', 'comfort', 'working']","['comfort', 'working', 'leisure', 'safety']","['#632b14', '#777777', '#cd26c7', '#73cf10']",2_2.png,"Q: In this graph, map each of the four words above the bars to the correct bar based on its color. Each word should be mapped to a single colored bar.  Think about the optimal mapping between all words and colors.The bars are indexed used the letters A, B, C, and D 
 Format your answer like this - A: word 1, B: word 2, C: word 3, D: word 4 
 Respond in json format
 A:"
