,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
above,0.732,0.162,0.327,0.312,0.612,0.217,0.612,0.217,0.312,0.142,0.732,0.172,0.472,0.732,0.142,0.312,0.312,0.142,0.312,0.217,0.612,0.412,0.472,0.732,0.05,0.112,0.312,0.312,0.812,0.732,0.127,0.312,0.312,0.312,0.217,0.472,0.612,0.127,0.312,0.472,0.672,0.127,0.312,0.472,0.672,0.127,0.217,0.312,0.217,0.127,0.312,0.312,0.612,0.312,0.612,0.732,0.312,0.472,0.612,0.217,0.412,0.132,0.142,0.612,0.412,0.672,0.732,0.732,0.472,0.732,0.672
angry,0.132,0.127,0.217,0.217,0.132,0.112,0.217,0.217,0.217,0.217,0.112,0.127,0.162,0.132,0.342,0.217,0.132,0.732,0.327,0.412,0.102,0.142,0.142,0.127,0.7,0.142,0.132,0.112,0.01,0.042,0.672,0.612,0.312,0.682,0.742,0.132,0.112,0.127,0.132,0.132,0.132,0.612,0.312,0.217,0.132,0.812,0.612,0.672,0.812,0.812,0.132,0.132,0.112,0.172,0.172,0.132,0.342,0.217,0.142,0.742,0.672,0.812,0.912,0.132,0.142,0.127,0.327,0.217,0.217,0.217,0.672
beach,0.312,0.127,0.127,0.127,0.742,0.142,0.217,0.112,0.132,0.102,0.812,0.172,0.732,0.742,0.132,0.217,0.172,0.102,0.142,0.102,0.812,0.612,0.742,0.812,0.05,0.102,0.152,0.212,0.732,0.412,0.132,0.312,0.312,0.217,0.142,0.672,0.612,0.127,0.312,0.672,0.472,0.127,0.312,0.742,0.742,0.112,0.327,0.732,0.212,0.132,0.162,0.212,0.327,0.172,0.472,0.732,0.212,0.742,0.742,0.312,0.742,0.312,0.142,0.312,0.217,0.312,0.217,0.472,0.342,0.812,0.812
below,0.312,0.127,0.217,0.217,0.312,0.412,0.312,0.172,0.217,0.112,0.312,0.742,0.412,0.312,0.342,0.312,0.217,0.312,0.312,0.127,0.612,0.472,0.612,0.412,0.8,0.742,0.612,0.312,0.2,0.732,0.412,0.412,0.312,0.217,0.217,0.312,0.412,0.762,0.732,0.732,0.312,0.762,0.612,0.472,0.412,0.742,0.732,0.412,0.217,0.127,0.312,0.312,0.312,0.732,0.472,0.312,0.732,0.412,0.312,0.732,0.312,0.732,0.127,0.217,0.312,0.217,0.312,0.217,0.217,0.217,0.127
beside,0.312,0.217,0.217,0.217,0.312,0.312,0.312,0.217,0.217,0.142,0.512,0.217,0.412,0.412,0.217,0.312,0.217,0.217,0.217,0.142,0.472,0.472,0.472,0.472,0.112,0.212,0.412,0.412,0.125,0.412,0.142,0.312,0.214,0.312,0.217,0.472,0.312,0.312,0.312,0.472,0.472,0.217,0.412,0.312,0.472,0.217,0.312,0.342,0.217,0.132,0.312,0.312,0.312,0.312,0.312,0.412,0.312,0.312,0.312,0.312,0.312,0.132,0.142,0.312,0.212,0.312,0.312,0.312,0.217,0.312,0.312
blueberry,0.812,0.762,0.412,0.125,0.612,0.762,0.612,0.412,0.312,0.112,0.152,0.812,0.612,0.742,0.472,0.412,0.132,0.152,0.127,0.132,0.112,0.412,0.312,0.152,0.1,0.125,0.042,0.042,0.0,0.042,0.217,0.132,0.042,0.132,0.132,0.132,0.112,0.132,0.132,0.152,0.132,0.052,0.132,0.132,0.042,0.112,0.132,0.042,0.102,0.042,0.042,0.042,0.042,0.132,0.132,0.132,0.042,0.132,0.042,0.042,0.042,0.042,0.012,0.032,0.042,0.052,0.042,0.042,0.042,0.042,0.032
dawn,0.312,0.127,0.217,0.217,0.312,0.172,0.412,0.172,0.312,0.142,0.612,0.217,0.612,0.742,0.312,0.327,0.472,0.217,0.327,0.142,0.312,0.412,0.682,0.732,0.05,0.125,0.212,0.312,0.2,0.312,0.312,0.612,0.742,0.562,0.267,0.312,0.312,0.127,0.312,0.472,0.612,0.162,0.412,0.642,0.742,0.217,0.472,0.742,0.327,0.217,0.217,0.182,0.327,0.273,0.472,0.612,0.342,0.612,0.742,0.327,0.742,0.612,0.142,0.217,0.217,0.312,0.327,0.327,0.327,0.782,0.742
day,0.732,0.142,0.267,0.217,0.732,0.217,0.327,0.127,0.217,0.142,0.812,0.217,0.612,0.742,0.142,0.312,0.327,0.132,0.312,0.142,0.732,0.412,0.742,0.812,0.05,0.112,0.312,0.312,0.95,0.742,0.142,0.342,0.342,0.327,0.217,0.672,0.612,0.127,0.472,0.732,0.732,0.127,0.342,0.672,0.812,0.142,0.312,0.732,0.312,0.217,0.342,0.472,0.732,0.312,0.742,0.812,0.312,0.672,0.812,0.312,0.742,0.312,0.152,0.732,0.682,0.732,0.732,0.732,0.672,0.812,0.812
disgust,0.132,0.217,0.127,0.127,0.132,0.172,0.217,0.217,0.217,0.132,0.132,0.172,0.142,0.142,0.412,0.217,0.142,0.732,0.217,0.217,0.127,0.412,0.217,0.217,0.732,0.612,0.412,0.212,0.012,0.102,0.712,0.612,0.142,0.412,0.412,0.172,0.217,0.732,0.472,0.217,0.217,0.762,0.712,0.472,0.142,0.742,0.732,0.612,0.712,0.732,0.327,0.312,0.132,0.732,0.327,0.217,0.742,0.612,0.312,0.742,0.312,0.742,0.732,0.172,0.182,0.312,0.742,0.672,0.732,0.217,0.312
dress,0.412,0.472,0.472,0.412,0.412,0.412,0.582,0.472,0.472,0.412,0.312,0.472,0.412,0.472,0.472,0.472,0.612,0.412,0.612,0.732,0.217,0.412,0.412,0.312,0.9,0.412,0.412,0.412,0.3,0.412,0.412,0.512,0.612,0.562,0.562,0.312,0.212,0.127,0.312,0.312,0.312,0.217,0.412,0.472,0.472,0.412,0.472,0.412,0.612,0.732,0.142,0.142,0.312,0.217,0.312,0.312,0.312,0.472,0.312,0.342,0.412,0.312,0.412,0.127,0.142,0.162,0.217,0.312,0.327,0.327,0.312
